                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0495,                 1.2468,                 1.5001,                 1.0503,                 2.6709,                 1.5178,                0.86068,                0.90961,                0.94437,                0.76847,                0.69295,                0.45832,                 1.2474,                0.70251,                0.56455,                 1.2603,             0.00047603,             0.00047603,             0.00047603
                      2,                0.81842,                0.64287,                 1.2699,                0.86757,                0.73042,                 1.2992,                0.92624,                0.92831,                0.96593,                0.78469,                0.67277,                0.39088,                 1.1919,                0.68228,                0.38304,                 1.2029,             0.00088951,             0.00088951,             0.00088951
                      3,                0.77858,                0.59207,                 1.2422,                0.82737,                 0.6316,                 1.2708,                0.90042,                0.87582,                0.95383,                 0.7876,                0.64056,                0.42012,                 1.1702,                0.65018,                0.43254,                 1.1926,              0.0012401,              0.0012401,              0.0012401
                      4,                0.73652,                0.55597,                   1.21,                0.78565,                0.58169,                 1.2398,                0.92312,                0.90402,                0.96293,                0.79469,                0.61013,                0.36277,                 1.1679,                0.62969,                0.35208,                  1.178,              0.0011461,              0.0011461,              0.0011461
                      5,                0.71448,                0.52903,                 1.1955,                0.76202,                0.54849,                 1.2232,                0.90956,                0.92747,                0.95835,                 0.8013,                0.60429,                0.37696,                 1.1591,                0.61279,                 0.3544,                 1.1619,              0.0011461,              0.0011461,              0.0011461
                      6,                 0.6427,                 0.4163,                 1.1666,                0.66206,                0.38922,                  1.191,                0.90985,                 0.9139,                0.96469,                0.79977,                0.61061,                0.37391,                  1.149,                 0.6248,                0.35966,                 1.1712,              0.0010517,              0.0010517,              0.0010517
                      7,                0.60478,                0.38549,                 1.1168,                0.62183,                0.35818,                 1.1363,                0.93831,                 0.9188,                0.97256,                0.81395,                0.59872,                0.34771,                 1.1295,                0.61107,                0.31444,                  1.143,             0.00095743,             0.00095743,             0.00095743
                      8,                 0.5853,                0.35914,                 1.0981,                0.59933,                 0.3247,                 1.1132,                0.93355,                0.92466,                0.97146,                0.82232,                0.57443,                0.34628,                 1.0985,                0.59895,                0.34191,                 1.1147,             0.00086312,             0.00086312,             0.00086312
                      9,                0.57253,                0.34337,                 1.0939,                0.58441,                 0.3126,                 1.1061,                0.93334,                 0.9205,                0.97309,                0.82603,                0.57413,                0.33602,                 1.1203,                0.58342,                0.30824,                 1.1315,              0.0007688,              0.0007688,              0.0007688
                     10,                0.55543,                0.32415,                 1.0828,                0.56572,                0.29203,                 1.0935,                0.92501,                0.94654,                0.97831,                0.83214,                 0.5725,                 0.3191,                 1.1258,                0.57958,                0.29532,                 1.1314,             0.00067449,             0.00067449,             0.00067449
                     11,                0.54442,                0.31283,                 1.0743,                0.55573,                0.28013,                 1.0853,                 0.9467,                0.94448,                0.97781,                 0.8312,                0.56583,                0.30823,                 1.0716,                0.57779,                0.27926,                 1.0833,             0.00058017,             0.00058017,             0.00058017
                     12,                0.53524,                0.30059,                 1.0489,                0.54362,                0.26609,                 1.0573,                0.93334,                0.94236,                0.97553,                 0.8435,                0.55182,                0.31224,                 1.0492,                0.56251,                0.28882,                 1.0614,             0.00048586,             0.00048586,             0.00048586
                     13,                0.51758,                0.28599,                 1.0346,                0.52504,                0.25323,                 1.0408,                0.93802,                 0.9491,                0.98088,                0.84764,                0.55046,                 0.3048,                  1.051,                0.55851,                0.28126,                 1.0602,             0.00039155,             0.00039155,             0.00039155
                     14,                0.50789,                0.27297,                 1.0232,                0.51481,                0.24178,                 1.0295,                0.94292,                0.94979,                0.97992,                0.84715,                0.54018,                0.29356,                 1.0617,                 0.5502,                0.28323,                 1.0712,             0.00029723,             0.00029723,             0.00029723
                     15,                0.49581,                 0.2652,                 1.0197,                0.50227,                0.23418,                 1.0262,                0.94525,                0.94343,                  0.981,                0.85491,                 0.5353,                0.28169,                 1.0542,                0.54073,                0.26293,                 1.0613,             0.00020292,             0.00020292,             0.00020292
